Year;Pop
1900;1658.82352941176
1925;1976.47058823529
1950;2523.5294117647
2000;6088.23529411764
1898.83720930232;1658.82352941176
1900.58139534883;1658.82352941176
1902.03488372093;1658.82352941176
1903.48837209302;1676.47058823529
1905.23255813953;1711.76470588235
1906.97674418604;1729.41176470588
1908.13953488372;1747.05882352941
1909.88372093023;1747.05882352941
1911.62790697674;1764.70588235294
1913.08139534883;1782.35294117647
1914.24418604651;1817.64705882352
1915.6976744186;1835.29411764705
1917.44186046511;1852.94117647058
1919.18604651162;1888.23529411764
1921.22093023255;1923.5294117647
1923.25581395348;1941.17647058823
1926.16279069767;1994.11764705882
1927.32558139534;2011.76470588235
1928.1976744186;2064.70588235294
1929.65116279069;2064.70588235294
1931.3953488372;2117.64705882352
1933.13953488372;2152.94117647058
1934.30232558139;2170.58823529411
1935.75581395348;2205.88235294117
1936.91860465116;2241.17647058823
1938.37209302325;2276.47058823529
1940.40697674418;2311.76470588235
1942.15116279069;2364.70588235294
1944.18604651162;2417.64705882352
1945.93023255813;2452.94117647058
1947.96511627906;2488.23529411764
1951.45348837209;2594.11764705882
1952.90697674418;2664.70588235294
1953.77906976744;2699.99999999999
1954.65116279069;2770.58823529411
1956.10465116279;2805.88235294117
1956.97674418604;2858.82352941176
1957.8488372093;2894.11764705882
1959.01162790697;2982.35294117647
1960.17441860465;3035.29411764705
1961.0465116279;3123.5294117647
1961.33720930232;3141.17647058823
1962.5;3211.76470588235
1963.66279069767;3282.35294117647
1964.24418604651;3317.64705882352
1965.40697674418;3388.23529411764
1965.98837209302;3458.82352941176
1967.15116279069;3476.47058823529
1967.73255813953;3529.41176470588
1968.60465116279;3582.35294117647
1969.47674418604;3635.29411764705
1969.76744186046;3688.23529411764
1970.3488372093;3705.88235294117
1970.93023255813;3794.11764705882
1972.09302325581;3847.05882352941
1972.96511627906;3882.35294117647
1973.83720930232;3952.94117647058
1974.41860465116;4058.82352941176
1975.58139534883;4076.47058823529
1976.45348837209;4164.70588235294
1977.03488372093;4235.29411764705
1977.90697674418;4323.5294117647
1978.77906976744;4358.82352941176
1979.36046511627;4376.47058823529
1980.23255813953;4447.05882352941
1980.52325581395;4517.64705882352
1981.68604651162;4605.88235294117
1982.55813953488;4641.17647058823
1983.72093023255;4729.41176470588
1984.30232558139;4782.35294117647
1985.46511627906;4817.64705882352
1986.33720930232;4923.5294117647
1987;5000
1987.5;5011.76470588235
1988.37209302325;5099.99999999999
1988.95348837209;5135.29411764705
1990.11627906976;5241.17647058823
1991.27906976744;5347.05882352941
1992.73255813953;5452.94117647058
1993.60465116279;5523.5294117647
1994.18604651162;5611.76470588235
1995.05813953488;5699.99999999999
1995.93023255813;5752.94117647058
1997.09302325581;5841.17647058823
1997.96511627906;5964.70588235294
1999.12790697674;6017.64705882352
2000.87209302325;6176.47058823529
2001.16279069767;6211.76470588235
2002.03488372093;6299.99999999999
2003.77906976744;6352.94117647058
2004.65116279069;6405.88235294117
2005.23255813953;6511.76470588235
2006.3953488372;6582.35294117646
2007.8488372093;6688.23529411764
