Year;PercentPopHB
1898.16753926701;0.123152709359615
1900;0
1900.78534031413;0.123152709359615
1904.71204188481;0.123152709359615
1908.63874345549;0.123152709359615
1912.30366492146;0.123152709359615
1915.44502617801;0.123152709359615
1919.10994764397;0.985221674876847
1922.51308900523;1.97044334975369
1925.13089005235;2.58620689655172
1927.74869109947;3.20197044334975
1929.84293193717;3.94088669950739
1932.722513089;4.80295566502463
1935.34031413612;5.66502463054187
1938.74345549738;6.2807881773399
1942.14659685863;6.77339901477833
1945.8115183246;7.38916256157635
1949.47643979057;7.75862068965517
1951.57068062827;9.11330049261083
1953.40314136125;10.0985221674876
1956.02094240837;11.3300492610837
1958.37696335078;12.4384236453201
1959.94764397905;13.5467980295566
1961.25654450261;15.1477832512315
1962.82722513089;16.7487684729064
1964.39790575916;18.2266009852216
1965.70680628272;19.9507389162561
1967.5392670157;21.6748768472906
1968.58638743455;23.1527093596059
1970.41884816753;24.6305418719211
1972.51308900523;26.4778325123152
1974.0837696335;27.9556650246305
1976.1780104712;29.8029556650246
1978.01047120418;31.5270935960591
1979.84293193717;32.8817733990147
1981.67539267015;34.2364532019704
1984.55497382198;35.7142857142857
1986.91099476439;37.3152709359605
1988.74345549738;38.423645320197
1991.88481675392;39.9014778325123
1995.02617801047;41.7487684729064
1997.38219895287;43.103448275862
2000.26178010471;44.4581280788177
2003.14136125654;45.8128078817733
2006.28272251308;47.0443349753694
1902.87958115183;0
1906.5445026178;0.123152709359615
1910.20942408376;0
1913.61256544502;0.246305418719217
1917.27748691099;0.615763546798035
1920.68062827225;1.47783251231527
1923.56020942408;2.2167487684729
1926.1780104712;2.95566502463054
1928.53403141361;3.57142857142857
1930.6282722513;4.43349753694581
1933.76963350785;5.17241379310345
1936.64921465968;5.91133004926108
1938.48167539267;6.2807881773399
1940.57591623036;6.52709359605911
1943.45549738219;7.14285714285714
1947.64397905759;7.63546798029556
1950.78534031413;8.62068965517241
1952.09424083769;9.72906403940886
1954.71204188481;10.7142857142857
1956.80628272251;11.6995073891625
1959.16230366492;13.0541871921182
1960.47120418848;14.2857142857142
1961.78010471204;16.0098522167487
1963.0890052356;17.3645320197044
1963.61256544502;17.9802955665024
1964.92146596858;19.0886699507389
1965.70680628272;20.5665024630541
1966.49214659685;21.0591133004926
1967.80104712041;22.2906403940886
1968.06282722513;22.5369458128078
1969.37172774869;23.6453201970443
1970.68062827225;25.1231527093596
1971.72774869109;25.9852216748768
1973.29842931937;26.9704433497536
1973.82198952879;27.7093596059113
1974.86910994764;28.5714285714285
1975.13089005235;29.1871921182266
1976.1780104712;30.1724137931034
1977.22513089005;30.6650246305418
1978.53403141361;31.8965517241379
1979.05759162303;32.3891625615763
1980.89005235602;33.4975369458128
1982.19895287958;34.7290640394088
1983.24607329842;35.3448275862069
1985.34031413612;36.5763546798029
1987.43455497382;37.807881773399
1989.2670157068;39.039408866995
1991.09947643979;39.5320197044334
1993.19371727748;40.6403940886699
1994.24083769633;41.1330049261083
1995.8115183246;42.487684729064
1997.9057591623;43.4729064039408
1999.47643979057;44.0886699507389
2002.09424083769;45.4433497536945
2000.78534031413;44.9507389162561
2003.92670157068;46.3054187192118
2008;48
